"region","gdp"
"US.AL",200197.5
"US.AK",50728.1
"US.AZ",298615
"US.AR",117734.3
"US.CA",2559643.2
"US.CO",317992.4
"US.CT",262372.7
"US.DE",71547.8
"US.DC",124853.7
"US.FL",897754.7
"US.GA",515753
"US.HI",82644
"US.ID",66082
"US.IL",795326.1
"US.IN",329527.7
"US.IA",179459.2
"US.KS",154015.6
"US.KY",192819.3
"US.LA",231751.8
"US.ME",57559.8
"US.MD",370768.3
"US.MA",503178.5
"US.MI",473149.5
"US.MN",333065.8
"US.MS",105427.9
"US.MO",293938.3
"US.MT",46269.3
"US.NE",115663.9
"US.NV",143554
"US.NH",75832
"US.NJ",569116.5
"US.NM",91322
"US.NY",1485620.8
"US.NC",502808.4
"US.ND",55069.1
"US.OH",609321.7
"US.OK",184140.4
"US.OR",202718.6
"US.PA",711787.2
"US.RI",56560.7
"US.SC",204000.4
"US.SD",47630.5
"US.TN",323658.5
"US.TX",1564374.3
"US.UT",148917.8
"US.VT",30663.7
"US.VA",484530.8
"US.WA",471702.8
"US.WV",70815.9
"US.WI",306498.9
"US.WY",37860.7
