scenario,delta_t,min,mean,max
A,0,99.1526993841607,102.55060648171542,107.31269053022199
A,1,93.55803148335735,95.92217990788133,97.8161109836981
A,2,87.30288294199947,89.66589510940021,91.02982658157809
A,3,80.68861109700504,84.91861920743855,88.63326777620858
A,4,75.4351589745877,77.7552934956059,82.00989541868006
B,0,99.1526993841607,102.55060648171542,107.31269053022199
B,1,92.99221319610312,95.34477579952971,101.9170610983567
B,2,83.4700457192245,86.56791130910509,90.0438146613464
B,3,76.6003365949466,78.63414222879702,82.36428530170315
B,4,69.42635393804876,72.86805368298312,79.38774909668238
C,0,99.1526993841607,102.55060648171542,107.31269053022199
C,1,90.39050359190841,93.77321945559233,97.98979916605629
C,2,81.30796728972635,83.86774825581259,88.22868110289961
C,3,73.82026504271754,77.95038313162944,87.35856719462937
C,4,64.64831530469183,68.72978478221232,75.58116187239726
