scenario,delta_t,region_group,min,mean,max
A,0,USA,10.601781769219713,12.235143921051737,13.936553368669474
A,1,USA,10.00188302952322,11.763850571070414,13.919589942521506
A,2,USA,10.624854487796853,11.537589168400977,12.705885995494024
A,3,USA,7.86802711492332,10.405274879778565,12.509471310374169
A,4,USA,8.939729063854042,10.2925637450127,11.212414665243248
A,0,AI-MQ:50,22.7216589936717,24.74109626466904,26.840743233819826
A,1,AI-MQ:50,20.97063812577496,24.08120509553169,26.44144337778007
A,2,AI-MQ:50,24.5898569138311,25.442412254908977,27.82648828285645
A,3,AI-MQ:50,21.339914149714623,24.031167742370414,26.671747719587035
A,4,AI-MQ:50,23.255140739224135,25.47129702271453,27.37446904099959
A,0,AI-MQ:75,47.77572878947304,49.57147518671656,52.054254153820814
A,1,AI-MQ:75,46.816349166939126,48.90033686078265,50.75412929395612
A,2,AI-MQ:75,47.840470470597886,49.60469377657253,52.10159359222003
A,3,AI-MQ:75,47.0085925231227,48.98408217647611,50.8389939887896
A,4,AI-MQ:75,47.03641143215861,49.91606056017604,51.330477904697844
A,0,AI-MQ:95,72.63837664790942,74.36791475855875,75.8655000916701
A,1,AI-MQ:95,72.96607275116848,73.97800118691985,75.6517563533744
A,2,AI-MQ:95,72.49788766255465,74.62627382492819,75.93383242752283
A,3,AI-MQ:95,73.4041933857533,74.38669674015924,75.56185596658356
A,4,AI-MQ:95,73.65004885813823,74.98548505778679,75.87742292772933
B,0,USA,10.601781769219713,12.235143921051737,13.936553368669474
B,1,USA,11.246189567544256,12.068728800508202,13.206078989322863
B,2,USA,8.951345208912546,11.096191189906063,13.520710073623409
B,3,USA,8.414615799176067,9.85147403598885,11.207045452869114
B,4,USA,8.49654933386605,9.672481360682058,10.700508773745247
B,0,AI-MQ:50,22.7216589936717,24.74109626466904,26.840743233819826
B,1,AI-MQ:50,23.286851832407844,25.251941739911494,26.959788686917975
B,2,AI-MQ:50,22.576083137069602,24.783545250024403,27.157067795955342
B,3,AI-MQ:50,23.651307510717988,25.95844037558215,26.97002831704147
B,4,AI-MQ:50,25.66173455257384,27.756520637655413,29.667137159916233
B,0,AI-MQ:75,47.77572878947304,49.57147518671656,52.054254153820814
B,1,AI-MQ:75,48.900905788416935,49.77223571666577,50.7712673113937
B,2,AI-MQ:75,47.397715592956295,49.05266911077918,50.18452904755447
B,3,AI-MQ:75,48.22185760429231,49.85490918800055,51.136175588387125
B,4,AI-MQ:75,49.397340777334215,50.98171812513792,52.55720507271858
B,0,AI-MQ:95,72.63837664790942,74.36791475855875,75.8655000916701
B,1,AI-MQ:95,72.41645868373422,74.468387227933,75.02226354869035
B,2,AI-MQ:95,71.92911527722761,74.25748267409625,75.73219848575265
B,3,AI-MQ:95,74.1436394126057,75.33466152079417,76.27472971655529
B,4,AI-MQ:95,74.64292071472684,75.27285978599289,76.3568332705717
C,0,USA,10.601781769219713,12.235143921051737,13.936553368669474
C,1,USA,9.491163265858074,11.249710801779266,12.659196929128399
C,2,USA,9.795284605336846,10.974831947787425,11.93269251180468
C,3,USA,9.030525357234206,10.269540904723023,12.280406927521062
C,4,USA,8.700425916098558,9.99553610560066,11.383362827472668
C,0,AI-MQ:50,22.7216589936717,24.74109626466904,26.840743233819826
C,1,AI-MQ:50,22.225927208611786,24.443266589968246,25.898803989315976
C,2,AI-MQ:50,25.01012926445105,26.915161619172927,28.926746073944532
C,3,AI-MQ:50,24.45545855397154,26.906238874492733,29.47790480188395
C,4,AI-MQ:50,27.69894750648395,29.262067005821848,31.30859482422584
C,0,AI-MQ:75,47.77572878947304,49.57147518671656,52.054254153820814
C,1,AI-MQ:75,46.56444136873752,48.58253411330773,50.48675885462536
C,2,AI-MQ:75,48.98736472564756,50.538461878076845,52.42365583388489
C,3,AI-MQ:75,48.821993919530534,50.23180029724879,51.796854875921305
C,4,AI-MQ:75,50.75540037968794,51.94959965292296,53.050109431371965
C,0,AI-MQ:95,72.63837664790942,74.36791475855875,75.8655000916701
C,1,AI-MQ:95,72.51814903861437,74.01771851329922,75.49034639799942
C,2,AI-MQ:95,74.5597171972877,75.23313784774717,76.16236195585518
C,3,AI-MQ:95,74.3418679694996,75.18393275735545,76.23199766882578
C,4,AI-MQ:95,74.43298639018089,75.901300744175,76.98926414049923
